Educational Psychologist,,
Educational Psychologist,,
Educational Psychologist,,
Educational Psychologist,,
Educational Psychologist,,
Educational Psychologist,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,amygdala;cognitive control;emotion;emotion regulation;prefrontal cortex
Current Directions in Psychological Science,,double dissociation;long-term memory;neuroimaging;neuroscience;short-term memory
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,
Current Directions in Psychological Science,,autism;epidemic;epidemiology
Current Directions in Psychological Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,"Acoustic Stimulation|D000161;Analysis of Variance|D000704;Child|D002648;Child Development|D002657;Child, Preschool|D002675;Comprehension|D032882;Culture|D003469;Female|D005260;Humans|D006801;Instinct|D007323;Male|D008297;Multilingualism|D019303;Photic Stimulation|D010775;Vocabulary|D014825",
Developmental Science,"Animals|D000818;Developmental Biology|D015509;Epigenesis, Genetic|D044127;Gene-Environment Interaction|D059647;Humans|D006801;Synapses|D013569",
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,Acoustic Stimulation|D000161;Analysis of Variance|D000704;Auditory Perception|D001307;Female|D005260;Humans|D006801;Infant|D007223;Infant Behavior|D018730;Interpersonal Relations|D007398;Male|D008297;Movement|D009068;Social Behavior|D012919;Statistics as Topic|D013223,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,Analysis of Variance|D000704;Association Learning|D001245;Child Development|D002657;Electroencephalography|D004569;Female|D005260;Humans|D006801;Infant|D007223;Male|D008297;Movement|D009068;Psychomotor Performance|D011597;Time Factors|D013997;Visual Perception|D014796;Walking|D016138,
Developmental Science,,
Developmental Science,"Attention|D001288;Child Development Disorders, Pervasive|D002659;Child, Preschool|D002675;Female|D005260;Humans|D006801;Infant|D007223;Infant, Newborn|D007231;Learning|D007858;Longitudinal Studies|D008137;Male|D008297;Models, Theoretical|D008962;Regression Analysis|D012044;Risk Factors|D012307;Social Behavior|D012919;Treatment Outcome|D016896",
Developmental Science,"Behavior|D001519;Brain|D001921;Brain Mapping|D001931;Child|D002648;Cross-Sectional Studies|D003430;Female|D005260;Humans|D006801;Language|D007802;Learning|D007858;Magnetic Resonance Imaging|D008279;Male|D008297;Mathematics|D008433;Models, Neurological|D008959;Neurons|D009474;Parietal Lobe|D010296;Temporal Lobe|D013702;Time Factors|D013997",
Developmental Science,"Attention|D001288;Child|D002648;Cognition|D003071;Executive Function|D056344;Female|D005260;Humans|D006801;Intelligence|D007360;Male|D008297;Mathematics|D008433;Memory|D008568;Memory, Short-Term|D008570;Models, Theoretical|D008962;Neuropsychological Tests|D009483;Problem Solving|D011340;Reading|D011932;Regression Analysis|D012044;Verbal Learning|D014706",
Developmental Science,,
Developmental Science,,
Developmental Science,,
Developmental Science,Adolescent|D000293;Adult|D000328;Aging|D000375;Attention|D001288;Child|D002648;Child Development|D002657;Discrimination Learning|D004193;Female|D005260;Humans|D006801;Male|D008297;Photic Stimulation|D010775;Psychomotor Performance|D011597;Reaction Time|D011930;Reading|D011932;Young Adult|D055815,
Developmental Science,"Adolescent|D000293;Adult|D000328;Age Factors|D000367;Child|D002648;Child Behavior|D002652;Child, Preschool|D002675;Cues|D003463;Decision Making|D003657;Face|D005145;Facial Expression|D005149;Female|D005260;Games, Experimental|D005717;Humans|D006801;Male|D008297;Pattern Recognition, Visual|D010364;Perception|D010465;Photic Stimulation|D010775;Trust|D035502;Young Adult|D055815",
Developmental Science,"Age Factors|D000367;Brain Mapping|D001931;Child|D002648;Child, Preschool|D002675;Female|D005260;Functional Laterality|D007839;Humans|D006801;Image Processing, Computer-Assisted|D007091;Longitudinal Studies|D008137;Magnetic Resonance Imaging|D008279;Male|D008297;Mathematics|D008433;Oxygen|D010100;Parietal Lobe|D010296;Reaction Time|D011930",
Developmental Science,Age Factors|D000367;Brain Mapping|D001931;Child|D002648;Child Development|D002657;Decision Making|D003657;Electroencephalography|D004569;Evoked Potentials|D005071;Female|D005260;Humans|D006801;Male|D008297;Reaction Time|D011930;Reading|D011932;Semantics|D012660;Vocabulary|D014825;Young Adult|D055815,
Developmental Science,"Brain|D001921;Brain Mapping|D001931;Child Development|D002657;Child, Preschool|D002675;Electroencephalography|D004569;Emotions|D004644;Evoked Potentials|D005071;Expressed Emotion|D019260;Female|D005260;Functional Laterality|D007839;Humans|D006801;Male|D008297;Photic Stimulation|D010775;Time Factors|D013997;Visual Perception|D014796",
Developmental Science,"Causality|D015984;Child, Preschool|D002675;Concept Formation|D003210;Female|D005260;Humans|D006801;Infant|D007223;Learning|D007858;Male|D008297;Photic Stimulation|D010775;Probability|D011336;Recognition (Psychology)|D021641;Visual Perception|D014796",
Developmental Science,"Animals|D000818;Attention|D001288;Behavior, Animal|D001522;Child, Preschool|D002675;Comprehension|D032882;Dogs|D004285;Female|D005260;Gestures|D005868;Humans|D006801;Intention|D033182;Language|D007802;Male|D008297;Nonverbal Communication|D009633;Orientation|D009949",
Developmental Science,Animals|D000818;Female|D005260;Humans|D006801;Infant|D007223;Infant Behavior|D018730;Locomotion|D008124;Male|D008297;Motor Skills|D009048;Posture|D011187,
Developmental Science,"Adolescent|D000293;Adult|D000328;Aging|D000375;Attention|D001288;Bias (Epidemiology)|D015982;Child|D002648;Child Behavior|D002652;Cues|D003463;Facial Expression|D005149;Fear|D005239;Female|D005260;Fixation, Ocular|D005403;Humans|D006801;Male|D008297;Photic Stimulation|D010775;Young Adult|D055815",
Developmental Science,"Analysis of Variance|D000704;Child Development|D002657;Depth Perception|D003867;Female|D005260;Humans|D006801;Infant|D007223;Intuition|D019545;Male|D008297;Motion Perception|D009039;Pattern Recognition, Visual|D010364;Photic Stimulation|D010775;Probability|D011336;Reaction Time|D011930",
Developmental Science,"Analysis of Variance|D000704;Child|D002648;Child Development|D002657;Child, Institutionalized|D002674;Emotions|D004644;Facial Expression|D005149;Female|D005260;Humans|D006801;Male|D008297;Photic Stimulation|D010775;Recognition (Psychology)|D021641;Social Behavior|D012919",
Developmental Science,"Analysis of Variance|D000704;Animals|D000818;Animals, Newborn|D000831;Eye Movements|D005133;Face|D005145;Female|D005260;Gestures|D005868;Imitative Behavior|D007100;Macaca mulatta|D008253;Male|D008297;Pattern Recognition, Visual|D010364",
Developmental Science,"Age Factors|D000367;Child|D002648;Child Language|D002663;Child, Preschool|D002675;Female|D005260;Humans|D006801;Knowledge|D019359;Longitudinal Studies|D008137;Male|D008297;Memory, Short-Term|D008570;Models, Theoretical|D008962;Reproducibility of Results|D015203;Semantics|D012660;Verbal Learning|D014706;Vocabulary|D014825",
Developmental Science,"Animals|D000818;Animals, Newborn|D000831;Chickens|D002645;Cognition|D003071;Photic Stimulation|D010775;Reaction Time|D011930;Recognition (Psychology)|D021641;Visual Perception|D014796",
Developmental Science,"Child|D002648;Child, Preschool|D002675;Choice Behavior|D002755;Cognition|D003071;Cross-Cultural Comparison|D003431;Female|D005260;Humans|D006801;Individuality|D007206;International Cooperation|D007391;Male|D008297;Mathematics|D008433;Neuropsychological Tests|D009483;Reaction Time|D011930;Recognition (Psychology)|D021641;Regression Analysis|D012044;Symbolism|D013561",
Developmental Science,"Age Factors|D000367;Awareness|D001364;Child|D002648;Child Development|D002657;Child, Preschool|D002675;Comprehension|D032882;Educational Status|D004522;Female|D005260;Humans|D006801;Longitudinal Studies|D008137;Male|D008297;Phonetics|D010700;Reading|D011932;Regression Analysis|D012044;Verbal Behavior|D014705;Vocabulary|D014825",
Developmental Science,"Attention|D001288;Brain|D001921;Child Development|D002657;Face|D005145;Humans|D006801;Models, Biological|D008954;Pattern Recognition, Visual|D010364",
Developmental Science,"Attention|D001288;Brain|D001921;Child Development|D002657;Face|D005145;Humans|D006801;Models, Biological|D008954;Pattern Recognition, Visual|D010364",
